 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
04040;ZARAGOZA-DELICIAS;41,6587744;-0,9112734;CALLE RIOJA, 33;50011;Zaragoza;Zaragoza;;
70800;CASETAS;41,7234658;-1,0210944;CALLE ESTACION DE FERROCARRIL, S/N;50620;Zaragoza;Zaragoza;https://data.renfe.com/files/estaciones/FichaEstacion70800.pdf;
70801;UTEBO-PUEBLO;41,7105;-0,997975;CALLE ESTACION FERROCARRIL, S/N;50180;Utebo;Zaragoza;https://data.renfe.com/files/estaciones/FichaEstacion70801.pdf;
70806;ZARAGOZA-EL PORTILLO;41,6528;-0,895789;CALLE MANUEL ESCORIAZA Y FABRO, S/N;50010;Zaragoza;Zaragoza;https://data.renfe.com/files/estaciones/FichaEstacion70806.pdf;
70807;ZARAGOZA-GOYA;41,643834;-0,891281;AVENIDA GOYA, 47;50006;Zaragoza;Zaragoza;https://data.renfe.com/files/estaciones/FichaEstacion70807.pdf;
71100;MIRAFLORES;41,6378;-0,877408;CAMINO DE MIRAFLORES, S/N;50013;Zaragoza;Zaragoza;https://data.renfe.com/files/estaciones/FichaEstacion71100.pdf;
