CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
15301;VILLABONA DE ASTURIAS;ASTURIAS;17:00 - 17:30;2;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;17:30 - 18:00;4;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;18:00 - 18:30;5;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;18:30 - 19:00;5;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;19:00 - 19:30;1;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;19:30 - 20:00;2;1
15301;VILLABONA DE ASTURIAS;ASTURIAS;20:00 - 20:30;2;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;20:30 - 21:00;1;1
15301;VILLABONA DE ASTURIAS;ASTURIAS;21:00 - 21:30;2;4
15301;VILLABONA DE ASTURIAS;ASTURIAS;21:30 - 22:00;0;6
15301;VILLABONA DE ASTURIAS;ASTURIAS;22:00 - 22:30;1;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;22:30 - 23:00;0;2
15301;VILLABONA DE ASTURIAS;ASTURIAS;23:00 - 23:30;1;3
15301;VILLABONA DE ASTURIAS;ASTURIAS;23:30 - 00:00;0;1
15302;SERIN;ASTURIAS;05:30 - 06:00;0;0
15302;SERIN;ASTURIAS;06:00 - 06:30;0;0
15302;SERIN;ASTURIAS;06:30 - 07:00;0;0
15302;SERIN;ASTURIAS;07:00 - 07:30;1;0
15302;SERIN;ASTURIAS;07:30 - 08:00;3;2
15302;SERIN;ASTURIAS;08:00 - 08:30;4;0
15302;SERIN;ASTURIAS;08:30 - 09:00;5;0
15302;SERIN;ASTURIAS;09:00 - 09:30;1;2
15302;SERIN;ASTURIAS;09:30 - 10:00;1;0
15302;SERIN;ASTURIAS;10:00 - 10:30;1;1
15302;SERIN;ASTURIAS;10:30 - 11:00;5;0
15302;SERIN;ASTURIAS;11:00 - 11:30;3;4
15302;SERIN;ASTURIAS;11:30 - 12:00;1;2
15302;SERIN;ASTURIAS;12:00 - 12:30;3;1
15302;SERIN;ASTURIAS;12:30 - 13:00;1;5
15302;SERIN;ASTURIAS;13:00 - 13:30;1;0
15302;SERIN;ASTURIAS;13:30 - 14:00;0;3
15302;SERIN;ASTURIAS;14:00 - 14:30;0;2
15302;SERIN;ASTURIAS;14:30 - 15:00;0;3
15302;SERIN;ASTURIAS;15:00 - 15:30;3;7
15302;SERIN;ASTURIAS;15:30 - 16:00;1;1
15302;SERIN;ASTURIAS;16:00 - 16:30;0;3
15302;SERIN;ASTURIAS;16:30 - 17:00;0;2
15302;SERIN;ASTURIAS;17:00 - 17:30;1;4
15302;SERIN;ASTURIAS;17:30 - 18:00;1;1
15302;SERIN;ASTURIAS;18:00 - 18:30;2;2
15302;SERIN;ASTURIAS;18:30 - 19:00;4;1
15302;SERIN;ASTURIAS;19:00 - 19:30;2;0
15302;SERIN;ASTURIAS;19:30 - 20:00;1;1
15302;SERIN;ASTURIAS;20:00 - 20:30;0;2
15302;SERIN;ASTURIAS;20:30 - 21:00;0;4
15302;SERIN;ASTURIAS;21:00 - 21:30;1;3
15302;SERIN;ASTURIAS;21:30 - 22:00;0;2
15302;SERIN;ASTURIAS;22:00 - 22:30;0;0
15302;SERIN;ASTURIAS;22:30 - 23:00;0;1
15302;SERIN;ASTURIAS;23:00 - 23:30;0;0
15302;SERIN;ASTURIAS;23:30 - 00:00;0;1
15303;MONTEANA;ASTURIAS;05:30 - 06:00;1;0
15303;MONTEANA;ASTURIAS;06:00 - 06:30;2;0
15303;MONTEANA;ASTURIAS;06:30 - 07:00;2;0
15303;MONTEANA;ASTURIAS;07:00 - 07:30;3;0
15303;MONTEANA;ASTURIAS;07:30 - 08:00;4;0
15303;MONTEANA;ASTURIAS;08:00 - 08:30;4;2
15303;MONTEANA;ASTURIAS;08:30 - 09:00;2;0
15303;MONTEANA;ASTURIAS;09:00 - 09:30;2;0
15303;MONTEANA;ASTURIAS;09:30 - 10:00;3;0
15303;MONTEANA;ASTURIAS;10:00 - 10:30;3;1
15303;MONTEANA;ASTURIAS;10:30 - 11:00;2;0
15303;MONTEANA;ASTURIAS;11:00 - 11:30;5;0
15303;MONTEANA;ASTURIAS;11:30 - 12:00;0;0
15303;MONTEANA;ASTURIAS;12:00 - 12:30;0;1
15303;MONTEANA;ASTURIAS;12:30 - 13:00;2;3
15303;MONTEANA;ASTURIAS;13:00 - 13:30;1;2
15303;MONTEANA;ASTURIAS;13:30 - 14:00;0;1
15303;MONTEANA;ASTURIAS;14:00 - 14:30;2;3
15303;MONTEANA;ASTURIAS;14:30 - 15:00;0;5
15303;MONTEANA;ASTURIAS;15:00 - 15:30;2;2
15303;MONTEANA;ASTURIAS;15:30 - 16:00;0;5
15303;MONTEANA;ASTURIAS;16:00 - 16:30;2;3
15303;MONTEANA;ASTURIAS;16:30 - 17:00;3;0
15303;MONTEANA;ASTURIAS;17:00 - 17:30;1;1
15303;MONTEANA;ASTURIAS;17:30 - 18:00;3;1
15303;MONTEANA;ASTURIAS;18:00 - 18:30;0;0
15303;MONTEANA;ASTURIAS;18:30 - 19:00;3;2
15303;MONTEANA;ASTURIAS;19:00 - 19:30;1;5
15303;MONTEANA;ASTURIAS;19:30 - 20:00;2;1
15303;MONTEANA;ASTURIAS;20:00 - 20:30;3;2
15303;MONTEANA;ASTURIAS;20:30 - 21:00;0;3
15303;MONTEANA;ASTURIAS;21:00 - 21:30;0;2
15303;MONTEANA;ASTURIAS;21:30 - 22:00;0;6
15303;MONTEANA;ASTURIAS;22:00 - 22:30;0;0
15303;MONTEANA;ASTURIAS;22:30 - 23:00;0;1
15303;MONTEANA;ASTURIAS;23:00 - 23:30;0;0
15303;MONTEANA;ASTURIAS;23:30 - 00:00;0;1
15305;VILLABONA TABLADIELLO;ASTURIAS;05:30 - 06:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;06:00 - 06:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;06:30 - 07:00;3;0
15305;VILLABONA TABLADIELLO;ASTURIAS;07:00 - 07:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;07:30 - 08:00;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;08:00 - 08:30;0;1
15305;VILLABONA TABLADIELLO;ASTURIAS;08:30 - 09:00;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;09:00 - 09:30;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;09:30 - 10:00;1;2
15305;VILLABONA TABLADIELLO;ASTURIAS;10:00 - 10:30;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;10:30 - 11:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;11:00 - 11:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;11:30 - 12:00;2;2
15305;VILLABONA TABLADIELLO;ASTURIAS;12:00 - 12:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;12:30 - 13:00;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;13:00 - 13:30;1;2
15305;VILLABONA TABLADIELLO;ASTURIAS;13:30 - 14:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;14:00 - 14:30;1;3
15305;VILLABONA TABLADIELLO;ASTURIAS;14:30 - 15:00;1;0
15305;VILLABONA TABLADIELLO;ASTURIAS;15:00 - 15:30;0;1
15305;VILLABONA TABLADIELLO;ASTURIAS;15:30 - 16:00;0;2
15305;VILLABONA TABLADIELLO;ASTURIAS;16:00 - 16:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;16:30 - 17:00;0;2
15305;VILLABONA TABLADIELLO;ASTURIAS;17:00 - 17:30;0;2
15305;VILLABONA TABLADIELLO;ASTURIAS;17:30 - 18:00;2;0
15305;VILLABONA TABLADIELLO;ASTURIAS;18:00 - 18:30;4;0
15305;VILLABONA TABLADIELLO;ASTURIAS;18:30 - 19:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;19:00 - 19:30;0;1
15305;VILLABONA TABLADIELLO;ASTURIAS;19:30 - 20:00;1;3
15305;VILLABONA TABLADIELLO;ASTURIAS;20:00 - 20:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;20:30 - 21:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;21:00 - 21:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;21:30 - 22:00;2;1
15305;VILLABONA TABLADIELLO;ASTURIAS;22:00 - 22:30;0;2
15305;VILLABONA TABLADIELLO;ASTURIAS;22:30 - 23:00;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;23:00 - 23:30;0;0
15305;VILLABONA TABLADIELLO;ASTURIAS;23:30 - 00:00;0;0
15400;VERIÑA;ASTURIAS;05:30 - 06:00;0;1
15400;VERIÑA;ASTURIAS;06:00 - 06:30;0;0
15400;VERIÑA;ASTURIAS;06:30 - 07:00;3;0
15400;VERIÑA;ASTURIAS;07:00 - 07:30;0;2
15400;VERIÑA;ASTURIAS;07:30 - 08:00;7;4
15400;VERIÑA;ASTURIAS;08:00 - 08:30;1;2
15400;VERIÑA;ASTURIAS;08:30 - 09:00;0;0
15400;VERIÑA;ASTURIAS;09:00 - 09:30;1;0
15400;VERIÑA;ASTURIAS;09:30 - 10:00;1;0
15400;VERIÑA;ASTURIAS;10:00 - 10:30;2;0
15400;VERIÑA;ASTURIAS;10:30 - 11:00;0;1
15400;VERIÑA;ASTURIAS;11:00 - 11:30;0;0
15400;VERIÑA;ASTURIAS;11:30 - 12:00;0;1
15400;VERIÑA;ASTURIAS;12:00 - 12:30;0;0
15400;VERIÑA;ASTURIAS;12:30 - 13:00;1;0
15400;VERIÑA;ASTURIAS;13:00 - 13:30;1;0
15400;VERIÑA;ASTURIAS;13:30 - 14:00;0;0
15400;VERIÑA;ASTURIAS;14:00 - 14:30;0;0
15400;VERIÑA;ASTURIAS;14:30 - 15:00;3;1
15400;VERIÑA;ASTURIAS;15:00 - 15:30;1;1
15400;VERIÑA;ASTURIAS;15:30 - 16:00;0;0
15400;VERIÑA;ASTURIAS;16:00 - 16:30;0;3
15400;VERIÑA;ASTURIAS;16:30 - 17:00;2;0
15400;VERIÑA;ASTURIAS;17:00 - 17:30;1;3
15400;VERIÑA;ASTURIAS;17:30 - 18:00;4;1
15400;VERIÑA;ASTURIAS;18:00 - 18:30;0;0
15400;VERIÑA;ASTURIAS;18:30 - 19:00;1;1
15400;VERIÑA;ASTURIAS;19:00 - 19:30;0;0
15400;VERIÑA;ASTURIAS;19:30 - 20:00;3;0
15400;VERIÑA;ASTURIAS;20:00 - 20:30;0;0
15400;VERIÑA;ASTURIAS;20:30 - 21:00;0;0
15400;VERIÑA;ASTURIAS;21:00 - 21:30;0;0
15400;VERIÑA;ASTURIAS;21:30 - 22:00;0;3
15400;VERIÑA;ASTURIAS;22:00 - 22:30;1;0
15400;VERIÑA;ASTURIAS;22:30 - 23:00;1;3
15400;VERIÑA;ASTURIAS;23:00 - 23:30;0;0
15400;VERIÑA;ASTURIAS;23:30 - 00:00;0;0
15401;CALZADA DE ASTURIAS;ASTURIAS;05:30 - 06:00;0;3
15401;CALZADA DE ASTURIAS;ASTURIAS;06:00 - 06:30;10;3
15401;CALZADA DE ASTURIAS;ASTURIAS;06:30 - 07:00;56;0
15401;CALZADA DE ASTURIAS;ASTURIAS;07:00 - 07:30;92;8
15401;CALZADA DE ASTURIAS;ASTURIAS;07:30 - 08:00;113;27
15401;CALZADA DE ASTURIAS;ASTURIAS;08:00 - 08:30;64;21
15401;CALZADA DE ASTURIAS;ASTURIAS;08:30 - 09:00;20;9
15401;CALZADA DE ASTURIAS;ASTURIAS;09:00 - 09:30;49;14
15401;CALZADA DE ASTURIAS;ASTURIAS;09:30 - 10:00;19;14
15401;CALZADA DE ASTURIAS;ASTURIAS;10:00 - 10:30;23;11
15401;CALZADA DE ASTURIAS;ASTURIAS;10:30 - 11:00;15;7
15401;CALZADA DE ASTURIAS;ASTURIAS;11:00 - 11:30;12;28
15401;CALZADA DE ASTURIAS;ASTURIAS;11:30 - 12:00;7;1
15401;CALZADA DE ASTURIAS;ASTURIAS;12:00 - 12:30;23;13
15401;CALZADA DE ASTURIAS;ASTURIAS;12:30 - 13:00;1;12
15401;CALZADA DE ASTURIAS;ASTURIAS;13:00 - 13:30;12;24
15401;CALZADA DE ASTURIAS;ASTURIAS;13:30 - 14:00;37;24
15401;CALZADA DE ASTURIAS;ASTURIAS;14:00 - 14:30;26;27
15401;CALZADA DE ASTURIAS;ASTURIAS;14:30 - 15:00;31;83
15401;CALZADA DE ASTURIAS;ASTURIAS;15:00 - 15:30;13;44
15401;CALZADA DE ASTURIAS;ASTURIAS;15:30 - 16:00;17;99
15401;CALZADA DE ASTURIAS;ASTURIAS;16:00 - 16:30;8;47
15401;CALZADA DE ASTURIAS;ASTURIAS;16:30 - 17:00;18;23
15401;CALZADA DE ASTURIAS;ASTURIAS;17:00 - 17:30;11;21
